,PCODE,타율,홈런,볼삼비,P/PA,전체,컨택%,2S후선구%,출루율
83,73136,0.23975,16.0,0.3232044198895028,3.81,52.33333333333334,67.2,35.333333333333336,0.3304597701149425
84,74163,0.2883333333333333,0.6666666666666666,1.2734375000000004,4.199999999999998,44.53333333333333,93.13333333333333,33.40000000000001,0.3850148367952522
85,75566,0.2695,14.75,0.5852842809364549,4.0075,43.72500000000001,79.65,38.7,0.3517121300058038
86,76812,0.26975,8.5,0.651685393258427,3.755,46.3,85.1,34.575,0.35142658315935976
88,79456,0.302,0.75,0.5957446808510638,3.483333333333333,48.9,89.53333333333335,26.133333333333336,0.35200845665961944
89,99810,0.318,3.0,0.7142857142857143,3.65,45.3,87.8,31.8,0.3717948717948718
90,61186,0.28,2.25,0.7857142857142857,3.815,41.875,84.625,36.95,0.3690932311621967
91,73342,0.2505,2.0,0.6,3.78,42.5,81.1,36.3,0.3693045563549161
92,69453,0.25166666666666665,4.666666666666667,0.3695652173913044,3.87,49.15000000000001,72.30000000000003,35.0,0.32780612244897955
93,78135,0.279,12.75,0.4921875,3.835,46.3,76.425,36.525,0.3663704716336295
94,64346,0.26866666666666666,4.333333333333333,0.20502092050209206,3.72,51.95,69.35,31.25,0.3189368770764119
95,78548,0.2585,10.5,0.5057034220532319,3.9525,42.375,81.475,35.3,0.33175355450236965
96,79334,0.2,4.666666666666667,0.3724137931034482,4.04,44.1,78.9,36.5,0.3070044709388972
98,75808,0.274,5.0,0.6972477064220182,3.6,44.15000000000001,84.4,34.65,0.3543743078626799
99,79231,0.28250000000000003,2.0,0.9144736842105264,3.91,42.7,86.45,33.1,0.3622409823484267
100,68743,0.26525,4.75,0.7068273092369478,4.2625,36.325,82.775,36.775,0.35479543930248153
101,75151,0.25525000000000003,8.0,0.4472049689440994,3.7466666666666666,48.79999999999999,81.3,29.93333333333333,0.3219178082191781
102,79150,0.24275,3.75,0.4330708661417323,3.81,43.175,79.425,32.05,0.3098159509202454
103,61208,0.2535,1.25,0.5285714285714286,3.8833333333333333,46.93333333333334,84.43333333333334,31.8,0.3337129840546697
104,60523,0.28975,7.25,0.5972222222222222,4.25,39.9,83.7,31.55,0.3764510779436153
105,64868,0.23025,0.0,0.8782051282051282,4.3900000000000015,38.7,87.7,41.0,0.381
107,77463,0.275,9.0,0.4000000000000001,3.81,52.2,72.1,33.5,0.35678391959798994
108,67394,0.258,17.0,0.4177215189873418,3.94,45.0,77.1,32.0,0.3383458646616541
109,66606,0.2745,2.0,0.5474860335195529,3.7625,48.9,84.80000000000003,26.65,0.3426415094339623
110,78288,0.26975,2.75,0.7093596059113301,4.0,42.975,84.525,36.1,0.3748221906116643
112,76267,0.2925,14.0,0.6478260869565218,4.2125,43.325,87.02499999999998,29.025,0.3706697459584296
113,50854,0.2605,2.5,0.6666666666666666,3.875,43.6,85.3,31.3,0.33709273182957394
114,72443,0.299,19.0,0.8532423208191127,4.095,44.175,78.275,38.875,0.4199288256227758
115,51817,0.255,13.0,0.8115942028985508,4.18,39.2,74.0,43.6,0.40625
116,69652,0.2876666666666667,15.333333333333336,1.0344827586206895,3.9033333333333333,44.3,82.3,39.433333333333344,0.3831705484598047
117,69209,0.3383333333333333,15.333333333333336,1.3739130434782605,3.5400000000000005,47.2,88.46666666666665,36.56666666666667,0.4106162294081757
118,51463,0.312,20.0,0.6666666666666666,3.79,44.3,79.1,37.8,0.3784530386740331
119,62700,0.27125,3.75,0.26277372262773724,3.76,55.06666666666666,74.63333333333334,30.53333333333333,0.3227792436235708
120,68525,0.23825,8.25,0.4535315985130112,3.9933333333333336,42.53333333333333,77.60000000000002,36.2,0.3284072249589491
121,79240,0.31675000000000003,6.25,0.8814814814814815,3.5875000000000004,43.375,89.325,31.200000000000006,0.3707214323328067
122,68730,0.2613333333333333,17.333333333333332,0.4516129032258064,3.71,47.7,78.35,35.0,0.3523357086302455
123,66108,0.25849999999999995,2.0,1.0066225165562914,4.2799999999999985,36.8,84.05000000000003,42.35,0.4338153503893215
124,76313,0.3015,18.25,0.5246913580246914,3.9325,44.175,80.7,34.225,0.3663157894736842
125,51725,0.257,7.0,0.27586206896551724,3.88,46.7,75.7,27.5,0.3059701492537313
