,PCODE_YEAR,타율,홈런,볼삼비,P/PA,초구,전체,컨택%,2S후커트%,2S후선구%,출루율
89,78513_2018,0.342,33.0,0.5853658536585366,3.78,24.9,43.5,84.8,79.5,36.4,0.4006514657980456
90,78548_2018,0.258,13.0,0.3902439024390244,4.09,27.2,42.3,80.0,74.2,35.4,0.32142857142857145
91,78603_2018,0.295,4.0,1.1428571428571428,3.78,26.6,42.1,93.2,87.2,35.0,0.3757700205338809
92,78629_2018,0.271,26.0,0.4691358024691358,4.09,28.0,44.9,71.4,71.4,39.5,0.3805774278215223
93,78813_2018,0.27899999999999997,17.0,0.4117647058823529,3.67,34.1,51.7,80.4,76.8,32.8,0.32802547770700635
94,79109_2018,0.278,11.0,0.4041095890410959,4.02,37.3,47.3,74.3,68.8,38.5,0.3569078947368421
95,79150_2018,0.261,6.0,0.39705882352941174,3.78,26.0,43.1,77.9,70.4,32.8,0.32432432432432434
96,79192_2018,0.331,25.0,0.36082474226804123,3.74,23.7,51.0,78.7,77.1,30.4,0.3799654576856649
97,79215_2018,0.326,12.0,0.4307692307692308,3.49,33.7,47.6,83.6,79.3,31.4,0.3742911153119093
98,79240_2018,0.324,10.0,0.6153846153846154,3.7,14.9,42.9,89.5,86.0,31.9,0.3758741258741259
99,79608_2018,0.342,23.0,0.631578947368421,3.43,27.7,47.4,82.7,80.4,30.1,0.3927272727272727
100,99810_2018,0.318,3.0,0.7142857142857143,3.65,23.4,45.3,87.8,81.5,31.8,0.3717948717948718
101,60558_2019,0.25,6.0,0.3974358974358974,3.7,35.3,48.0,81.1,70.5,36.9,0.3161953727506427
102,60566_2019,0.278,0.0,0.4090909090909091,3.07,41.4,52.9,87.0,83.5,34.2,0.3064516129032258
103,61102_2019,0.27,16.0,0.36585365853658536,3.87,15.2,46.9,79.6,77.3,28.0,0.3368869936034115
104,61186_2019,0.308,2.0,0.6951219512195121,3.81,26.9,41.2,85.1,79.6,36.9,0.37868852459016394
105,61197_2019,0.251,5.0,0.2978723404255319,3.71,27.3,48.6,80.4,76.8,21.9,0.30111524163568776
106,61353_2019,0.32299999999999995,3.0,0.20224719101123595,3.61,39.0,55.1,79.9,76.7,27.9,0.34824902723735407
107,61404_2019,0.297,5.0,0.9024390243902439,3.9,13.1,41.8,88.6,88.7,28.5,0.36285097192224625
108,62025_2019,0.258,8.0,0.425531914893617,3.74,34.4,49.5,81.6,76.7,34.2,0.3107142857142857
109,62234_2019,0.25,0.0,0.6,3.52,36.4,46.9,85.2,77.8,37.1,0.3225806451612903
110,62244_2019,0.27899999999999997,4.0,0.6029411764705882,3.78,35.3,49.3,84.2,80.6,36.7,0.3467741935483871
111,62356_2019,0.248,3.0,0.3235294117647059,3.75,40.8,47.4,67.9,62.1,38.3,0.324
112,62404_2019,0.267,15.0,0.4318181818181818,3.65,34.2,48.2,80.3,74.9,33.9,0.32954545454545453
113,62415_2019,0.239,5.0,0.7073170731707317,4.1,26.0,44.9,87.2,82.9,35.3,0.3181019332161687
114,62556_2019,0.256,1.0,0.3870967741935484,3.74,32.2,49.6,83.8,80.2,32.3,0.3154034229828851
115,62802_2019,0.233,3.0,0.28,3.58,38.8,49.5,78.3,69.6,32.7,0.28451882845188287
116,62907_2019,0.344,1.0,1.025,3.74,23.8,43.4,90.7,88.1,38.5,0.4038095238095238
117,62931_2019,0.264,13.0,0.3875,3.9,34.1,50.6,75.9,75.0,31.4,0.3290155440414508
118,62934_2019,0.23,9.0,0.42028985507246375,3.86,33.9,44.0,78.9,70.7,42.3,0.3046153846153846
119,63704_2019,0.25,2.0,0.6764705882352942,3.96,22.9,43.3,80.6,77.8,35.1,0.33256880733944955
120,63722_2019,0.223,3.0,0.32926829268292684,4.16,29.9,44.7,73.3,68.1,34.0,0.30141843971631205
121,63963_2019,0.256,6.0,0.8333333333333334,4.17,17.9,40.8,86.9,81.7,36.9,0.3594132029339853
122,64006_2019,0.27899999999999997,3.0,0.3382352941176471,3.87,29.1,46.9,82.0,81.1,29.9,0.32779097387173395
123,64300_2019,0.307,19.0,0.875,3.75,29.9,42.8,85.0,77.7,35.5,0.39331210191082805
124,64346_2019,0.243,0.0,0.20909090909090908,3.75,38.7,49.7,70.6,65.6,34.1,0.3050847457627119
125,64504_2019,0.222,1.0,0.46511627906976744,3.97,30.3,44.1,78.2,75.3,38.7,0.29777777777777775
126,64560_2019,0.27,6.0,0.6195652173913043,3.93,27.7,41.1,78.0,70.8,40.8,0.3626609442060086
127,64984_2019,0.275,5.0,0.23880597014925373,3.56,35.6,50.0,81.6,75.3,31.4,0.30456852791878175
128,64004_2019,0.281,0.0,0.5245901639344263,3.61,32.8,45.6,86.7,83.5,26.1,0.34108527131782945
129,65357_2019,0.22699999999999998,3.0,0.3584905660377358,3.72,23.9,44.8,83.7,76.0,35.6,0.2688821752265861
130,76802_2019,0.24600000000000002,1.0,0.7674418604651163,3.47,28.2,44.6,88.2,83.0,33.3,0.3017241379310345
131,66606_2019,0.198,1.0,0.3137254901960784,3.81,44.7,50.5,80.7,76.8,31.9,0.2608695652173913
132,66706_2019,0.254,1.0,0.35135135135135137,3.74,31.2,46.3,79.5,68.5,34.5,0.31988472622478387
133,67025_2019,0.322,24.0,0.4083333333333333,3.78,32.1,49.9,75.3,70.6,37.9,0.38593481989708406
134,67304_2019,0.276,0.0,0.3411764705882353,3.63,28.2,47.3,77.0,67.3,34.1,0.3333333333333333
135,67341_2019,0.336,6.0,1.125,3.72,14.9,39.9,92.1,89.0,33.7,0.38596491228070173
136,67450_2019,0.292,22.0,0.9195402298850575,4.08,14.3,38.9,82.3,77.2,39.7,0.4024390243902439
137,67872_2019,0.276,29.0,0.6239316239316239,4.19,29.5,44.1,77.9,75.3,38.7,0.3733108108108108
138,68050_2019,0.336,13.0,0.7011494252873564,3.84,34.7,44.0,78.0,71.9,39.7,0.4204322200392927
139,69569_2019,0.251,9.0,0.5166666666666667,3.89,26.9,46.0,69.5,67.8,41.7,0.35074626865671643
140,68345_2019,0.305,28.0,0.7623762376237624,3.81,37.9,45.0,78.6,71.6,43.2,0.3973941368078176
141,68730_2019,0.284,18.0,0.4222222222222222,3.54,31.8,47.4,76.7,70.3,33.8,0.34593572778827975
142,68743_2019,0.262,8.0,0.4752475247524752,3.99,16.0,38.6,83.5,76.1,36.3,0.31715210355987056
143,70410_2019,0.3,3.0,0.38636363636363635,3.39,28.4,49.6,79.8,78.9,35.4,0.3452054794520548
144,71564_2019,0.285,16.0,0.7230769230769231,3.59,29.3,47.2,82.0,80.3,34.1,0.35985533453887886
145,71752_2019,0.305,6.0,0.574468085106383,3.94,23.2,43.3,80.9,74.9,34.9,0.38811881188118813
146,71837_2019,0.27,8.0,0.30097087378640774,3.95,22.2,48.0,74.2,73.8,28.0,0.3282937365010799
147,72443_2019,0.3,17.0,1.103896103896104,4.07,20.9,40.9,80.3,78.2,41.0,0.41889483065953653
148,73113_2019,0.247,10.0,0.5392156862745098,3.93,23.9,42.6,75.0,68.7,40.1,0.33675564681724846
149,73136_2019,0.256,21.0,0.42105263157894735,3.81,38.9,50.4,70.0,65.6,37.3,0.3445378151260504
150,73209_2019,0.222,3.0,0.2222222222222222,3.77,36.3,51.5,76.1,74.1,31.8,0.2697095435684647
151,74206_2019,0.268,4.0,1.1551724137931034,3.86,27.0,43.0,86.3,81.3,42.7,0.3827956989247312
152,74339_2019,0.317,14.0,0.8524590163934426,3.96,19.4,40.8,88.0,83.2,36.0,0.3836589698046181
153,74465_2019,0.267,19.0,0.9420289855072463,4.19,27.3,41.0,79.1,78.0,40.5,0.39592760180995473
154,74540_2019,0.23399999999999999,13.0,0.4342105263157895,3.91,27.7,45.5,77.9,71.9,37.6,0.31806615776081426
155,75125_2019,0.28,33.0,0.6666666666666666,4.11,19.9,41.5,70.2,67.7,37.6,0.40409683426443205
156,75151_2019,0.282,13.0,0.5,3.62,30.3,48.7,83.2,78.5,33.0,0.3436754176610978
157,75334_2019,0.293,21.0,0.5555555555555556,3.73,42.2,49.3,77.0,68.4,40.4,0.36981132075471695
158,75566_2019,0.24600000000000002,19.0,0.589041095890411,4.0,17.1,42.2,82.7,75.9,39.5,0.32671081677704195
159,75808_2019,0.278,3.0,0.46511627906976744,3.61,27.9,44.7,83.7,76.8,31.7,0.33663366336633666
160,75847_2019,0.292,29.0,0.75,3.85,41.3,47.7,78.3,77.5,39.5,0.40522875816993464
161,76232_2019,0.354,20.0,1.1162790697674418,3.74,30.1,44.6,88.0,83.8,35.5,0.4427645788336933
162,76249_2019,0.304,9.0,0.7636363636363637,3.6,38.3,48.2,78.9,77.1,42.4,0.3794749403341289
163,76267_2019,0.27699999999999997,4.0,0.8,4.11,16.6,44.4,87.5,86.4,26.6,0.3323076923076923
164,76290_2019,0.304,11.0,1.0384615384615385,3.67,27.1,44.7,87.7,84.6,36.4,0.3791390728476821
165,76313_2019,0.28300000000000003,20.0,0.7323943661971831,3.78,26.2,43.1,82.2,78.2,34.9,0.35952848722986247
166,79402_2019,0.271,5.0,0.746268656716418,3.95,12.7,38.0,85.4,82.5,35.1,0.3587360594795539
167,76753_2019,0.264,7.0,0.23076923076923078,3.39,48.6,58.2,76.2,72.2,33.9,0.2981366459627329
168,76812_2019,0.268,12.0,0.576271186440678,3.56,38.3,50.6,85.9,83.5,33.4,0.33001988071570576
169,76849_2019,0.293,2.0,0.7272727272727273,3.83,19.9,43.6,87.5,83.0,32.7,0.36162361623616235
170,77532_2019,0.295,10.0,0.5652173913043478,3.95,23.9,44.5,82.7,78.6,36.1,0.3609154929577465
171,77564_2019,0.26,8.0,0.4,3.91,18.5,43.0,78.0,73.9,36.4,0.32323232323232326
172,78135_2019,0.28600000000000003,13.0,0.5384615384615384,3.67,33.2,47.2,79.0,74.5,36.8,0.35892116182572614
173,78168_2019,0.3,2.0,0.98,3.73,22.4,40.7,87.0,83.6,35.0,0.3739669421487603
174,78224_2019,0.28300000000000003,15.0,0.5575221238938053,3.57,46.1,48.4,70.7,61.1,41.9,0.36787564766839376
175,78288_2019,0.29,3.0,0.9180327868852459,4.07,13.1,40.1,85.6,80.5,39.2,0.3982102908277405
176,78513_2019,0.301,22.0,0.647887323943662,3.63,28.7,45.3,84.2,78.8,36.3,0.36079077429983525
177,78548_2019,0.262,7.0,0.4069767441860465,4.01,30.0,42.5,82.2,73.0,35.2,0.3284671532846715
178,78603_2019,0.292,3.0,1.6538461538461537,3.7,22.8,38.6,94.5,88.8,36.0,0.3597285067873303
179,78756_2019,0.22399999999999998,3.0,0.5277777777777778,3.92,15.9,43.0,81.7,79.6,32.2,0.30699774266365687
180,78813_2019,0.305,10.0,0.5,3.57,35.8,50.4,78.7,75.2,33.9,0.35917312661498707
181,79109_2019,0.252,9.0,0.504424778761062,4.11,30.5,45.6,75.5,73.6,38.9,0.34011090573012936
182,79150_2019,0.231,2.0,0.34065934065934067,3.83,28.5,42.2,78.3,68.2,35.1,0.29095354523227385
183,79192_2019,0.315,12.0,0.3582089552238806,3.64,20.8,50.0,83.3,81.6,31.3,0.3592233009708738
184,79215_2019,0.319,10.0,1.0526315789473684,3.83,24.6,43.0,85.8,84.7,33.0,0.39738805970149255
185,79231_2019,0.265,0.0,0.95,3.98,19.9,42.7,84.7,83.2,34.4,0.35363457760314343
186,79240_2019,0.28800000000000003,4.0,0.9444444444444444,3.49,18.3,45.1,88.0,89.1,31.5,0.3525046382189239
187,79334_2019,0.247,7.0,0.35064935064935066,4.04,24.7,44.1,78.9,76.5,36.5,0.3099273607748184
188,79365_2019,0.297,10.0,0.6071428571428571,3.73,44.9,49.2,76.1,74.7,40.1,0.3672316384180791
189,79456_2019,0.282,1.0,0.5357142857142857,3.59,21.5,49.2,90.6,87.7,27.2,0.31901840490797545
190,79608_2019,0.315,5.0,1.0810810810810811,3.57,21.8,43.2,83.3,82.8,38.4,0.38141809290953543
191,64646_2019,0.26,2.0,0.3132530120481928,3.88,32.2,50.6,80.8,82.8,26.6,0.3003731343283582
192,65515_2019,0.24,4.0,0.12149532710280374,3.83,36.9,50.1,64.1,55.8,30.5,0.2786885245901639
193,69209_2019,0.344,15.0,1.1296296296296295,3.49,32.3,48.2,87.5,84.0,34.6,0.41294298921417566
194,69453_2019,0.262,7.0,0.3595505617977528,3.71,34.2,49.1,74.9,70.1,33.6,0.33178654292343385
195,69652_2019,0.311,9.0,0.8636363636363636,3.97,30.1,45.8,82.0,84.5,36.2,0.38095238095238093
196,69901_2019,0.22899999999999998,9.0,0.5161290322580645,3.76,23.3,44.0,82.2,78.9,33.6,0.2982456140350877
197,69950_2019,0.24600000000000002,8.0,0.35294117647058826,3.8,45.1,53.4,69.4,70.0,31.2,0.3080357142857143
198,60523_2020,0.295,11.0,0.6588235294117647,4.3,19.1,41.3,83.4,80.1,31.1,0.3818565400843882
199,60558_2020,0.27399999999999997,5.0,0.2765957446808511,3.61,39.5,52.1,76.7,73.0,37.4,0.33070866141732286
200,61102_2020,0.261,16.0,0.38095238095238093,3.6,21.1,49.1,75.9,73.7,31.4,0.3312368972746331
201,61186_2020,0.256,3.0,0.7954545454545454,3.93,20.9,39.4,85.3,82.2,38.3,0.3333333333333333
202,61208_2020,0.27699999999999997,2.0,0.58,3.77,31.3,46.4,83.7,76.9,30.9,0.3501577287066246
203,61353_2020,0.28300000000000003,3.0,0.2545454545454545,3.6,35.4,53.4,73.1,70.7,28.3,0.3194444444444444
204,61404_2020,0.248,3.0,0.7096774193548387,3.91,15.6,43.6,87.3,86.7,31.0,0.3120567375886525
205,61700_2020,0.228,4.0,0.546875,4.21,20.2,35.2,73.7,62.1,37.2,0.351931330472103
206,62244_2020,0.26899999999999996,4.0,0.7777777777777778,3.74,34.8,50.3,84.6,83.8,40.2,0.34782608695652173
207,62265_2020,0.24600000000000002,8.0,0.6625,3.99,32.8,44.8,81.0,76.7,37.3,0.34285714285714286
208,62404_2020,0.307,15.0,0.5604395604395604,4.01,31.8,46.7,76.5,78.0,31.9,0.388671875
209,62415_2020,0.29,11.0,0.5064935064935064,4.0,21.8,44.2,87.6,83.6,28.2,0.34579439252336447
210,62700_2020,0.28600000000000003,2.0,0.19696969696969696,3.59,45.2,56.9,75.3,69.8,28.1,0.3225806451612903
211,62864_2020,0.251,2.0,0.6071428571428571,3.79,35.0,45.5,81.6,81.8,38.4,0.3103448275862069
212,62907_2020,0.345,8.0,0.75,3.93,14.7,40.2,91.3,86.6,33.5,0.4037735849056604
213,62925_2020,0.309,12.0,0.43478260869565216,3.72,18.3,49.6,86.2,85.2,24.9,0.3511627906976744
214,62931_2020,0.27399999999999997,20.0,0.46226415094339623,3.92,34.7,47.2,74.2,69.7,36.4,0.359504132231405
215,62934_2020,0.221,8.0,0.425,3.87,35.1,48.1,79.7,75.3,36.8,0.29357798165137616
216,62947_2020,0.324,34.0,0.3310810810810811,3.82,49.7,56.1,71.3,66.5,35.1,0.3924914675767918
217,63704_2020,0.251,1.0,0.53125,4.0,31.8,45.7,77.6,75.5,32.4,0.33636363636363636
218,63722_2020,0.226,9.0,0.3620689655172414,4.16,22.9,42.6,76.1,71.6,31.1,0.308300395256917
219,63963_2020,0.26,12.0,0.8055555555555556,4.52,12.7,37.9,84.5,81.6,37.5,0.37857142857142856
220,64006_2020,0.235,3.0,0.37755102040816324,4.11,28.8,47.9,81.2,80.0,26.3,0.2909441233140655
221,64166_2020,0.289,13.0,0.4788732394366197,4.0,25.9,42.5,73.6,68.9,38.8,0.3721311475409836
222,64300_2020,0.306,30.0,1.1029411764705883,3.71,27.0,40.9,84.4,79.4,35.0,0.4003215434083601
223,64657_2020,0.245,5.0,0.5416666666666666,4.07,35.4,39.9,69.2,59.2,45.8,0.38940092165898615
224,64868_2020,0.29600000000000004,0.0,0.7710843373493976,4.48,23.2,40.4,87.7,81.4,38.9,0.39330543933054396
225,64984_2020,0.23600000000000002,1.0,0.28888888888888886,3.83,30.4,53.1,83.8,80.9,26.8,0.2733812949640288
226,64004_2020,0.239,5.0,0.5238095238095238,3.82,35.7,44.1,84.7,74.9,37.0,0.3117408906882591
227,65399_2020,0.268,10.0,0.547945205479452,4.17,13.3,40.6,77.2,74.3,35.3,0.35294117647058826
228,65586_2020,0.237,8.0,0.37,3.81,32.1,42.9,77.5,64.8,34.0,0.31
229,66108_2020,0.27899999999999997,5.0,0.9540229885057471,4.38,19.9,39.1,82.7,78.5,42.3,0.41188118811881186
230,76802_2020,0.271,2.0,1.1111111111111112,3.26,39.5,45.7,90.6,84.1,38.9,0.3359580052493438
231,66606_2020,0.326,2.0,0.9428571428571428,3.71,33.3,46.2,90.0,88.6,29.5,0.3870967741935484
232,66838_2020,0.312,20.0,0.3670886075949367,3.74,31.0,50.2,76.4,75.5,34.8,0.36
233,67025_2020,0.349,47.0,0.49242424242424243,4.06,22.6,48.3,76.8,73.7,35.0,0.4218009478672986
234,67304_2020,0.285,7.0,0.48936170212765956,3.97,22.4,44.3,79.1,77.3,29.0,0.3448275862068966
235,67341_2020,0.33299999999999996,15.0,1.2553191489361701,3.74,15.4,39.9,91.3,87.1,36.9,0.4025764895330113
236,67872_2020,0.282,32.0,0.7844827586206896,4.15,31.6,41.6,76.6,72.3,41.4,0.40439932318104904
237,68050_2020,0.33,23.0,0.7096774193548387,3.81,38.0,48.5,79.8,76.1,37.9,0.4202401372212693
