,PCODE_YEAR,타율,홈런,볼삼비,전체,2S후선구%,출루율
32,66838_2018,0.252,27.0,0.1574074074074074,52.2,34.5,0.2853932584269663
33,67025_2018,0.305,43.0,0.5,44.1,37.5,0.3919753086419753
34,67304_2018,0.27,5.0,0.2773109243697479,45.1,33.8,0.3290870488322717
35,67341_2018,0.355,6.0,0.7241379310344828,39.0,31.8,0.4153846153846154
36,67394_2018,0.258,17.0,0.4177215189873418,45.0,32.0,0.3383458646616541
37,67450_2018,0.33,33.0,0.6074766355140186,40.5,35.5,0.4187604690117253
38,67598_2018,0.268,23.0,0.2481203007518797,50.9,34.0,0.3320158102766799
39,67650_2018,0.31,20.0,0.6116504854368932,47.7,39.4,0.3983050847457627
40,67872_2018,0.316,43.0,0.5853658536585366,45.1,41.1,0.4042207792207792
41,67935_2018,0.257,26.0,0.3819444444444444,48.9,38.1,0.3455497382198953
42,68050_2018,0.29,29.0,0.41935483870967744,45.3,36.8,0.3555555555555556
43,68525_2018,0.232,4.0,0.20689655172413796,46.1,31.1,0.27876106194690264
44,68730_2018,0.306,30.0,0.5483870967741935,48.0,36.2,0.38
45,68743_2018,0.249,4.0,0.44,41.2,38.5,0.3244444444444444
46,70410_2018,0.34,18.0,0.4035087719298245,51.4,28.0,0.3818565400843882
47,70756_2018,0.28,20.0,0.7118644067796609,44.2,41.3,0.3723958333333333
48,71432_2018,0.284,10.0,0.4725274725274725,45.1,34.3,0.36597938144329895
49,71564_2018,0.333,37.0,0.5733333333333334,47.4,33.6,0.4009819967266776
50,71752_2018,0.315,10.0,0.23214285714285715,44.6,32.0,0.3602941176470588
51,71837_2018,0.298,14.0,0.3859649122807017,46.2,38.3,0.3702290076335878
52,72133_2018,0.303,15.0,0.4392523364485981,47.9,32.1,0.3619210977701544
53,72443_2018,0.339,25.0,0.7586206896551724,46.7,39.4,0.4204545454545455
54,72456_2018,0.238,4.0,0.275,45.9,34.1,0.28222996515679444
55,72546_2018,0.275,6.0,0.4,48.7,32.9,0.3088235294117647
56,73113_2018,0.262,25.0,0.4496124031007752,42.6,40.7,0.35660377358490564
57,73136_2018,0.295,34.0,0.2447552447552448,53.9,34.8,0.3509433962264151
58,73209_2018,0.262,12.0,0.5757575757575758,49.0,34.9,0.33906633906633904
59,73342_2018,0.308,4.0,0.7272727272727273,42.5,36.3,0.3852691218130311
60,74163_2018,0.293,1.0,0.9516129032258064,46.6,34.2,0.3791887125220457
61,74206_2018,0.311,16.0,0.6753246753246753,44.1,37.5,0.3913978494623656
62,74215_2018,0.276,19.0,0.5797101449275363,45.7,33.3,0.33988212180746563
63,74339_2018,0.339,20.0,0.8867924528301887,41.5,34.3,0.4095634095634096
64,74465_2018,0.255,16.0,0.4875,44.6,35.1,0.366754617414248
65,74540_2018,0.269,22.0,0.3020833333333333,47.9,35.8,0.3381742738589212
66,75125_2018,0.345,43.0,0.5964912280701754,43.4,40.4,0.4678714859437751
67,75151_2018,0.272,11.0,0.6551724137931034,47.9,33.5,0.3375
68,75334_2018,0.279,27.0,0.4958677685950413,48.6,39.7,0.3757828810020877
69,75566_2018,0.301,20.0,0.5048543689320388,45.7,37.1,0.375
70,75808_2018,0.304,11.0,0.9069767441860463,43.6,37.6,0.3788235294117647
71,75847_2018,0.244,35.0,0.4496124031007752,47.0,38.2,0.3706720977596741
72,76100_2018,0.273,10.0,0.8620689655172413,36.7,47.4,0.4341085271317829
73,76232_2018,0.358,23.0,1.125,46.1,34.9,0.43418467583497056
74,76249_2018,0.318,17.0,0.5147058823529411,49.8,39.5,0.37777777777777777
75,76267_2018,0.333,26.0,0.5730337078651685,43.0,31.5,0.3976311336717428
76,76290_2018,0.362,20.0,0.7704918032786885,45.2,36.2,0.42166344294003866
77,76313_2018,0.29600000000000004,25.0,0.4083333333333333,43.6,33.1,0.3594548551959114
78,79402_2018,0.263,10.0,0.2967032967032967,43.1,31.6,0.3136456211812627
79,76753_2018,0.297,18.0,0.1935483870967742,57.5,33.7,0.3282608695652174
80,76812_2018,0.329,17.0,0.6615384615384615,43.8,34.4,0.404710920770878
81,76849_2018,0.302,4.0,0.625,45.2,28.7,0.3663967611336033
82,77248_2018,0.313,15.0,0.3445378151260504,51.3,41.8,0.3687258687258687
83,77463_2018,0.293,15.0,0.3177570093457944,52.2,33.5,0.36018957345971564
84,77532_2018,0.329,26.0,0.6868686868686869,45.3,37.2,0.4048
85,77564_2018,0.28300000000000003,10.0,0.5,44.7,35.9,0.3554603854389722
86,78135_2018,0.316,13.0,0.3780487804878049,48.6,31.4,0.3770833333333333
87,78224_2018,0.334,44.0,0.44029850746268656,50.0,38.7,0.4092409240924093
88,78288_2018,0.262,1.0,0.3278688524590164,45.5,35.3,0.3373134328358209
89,78513_2018,0.342,33.0,0.5853658536585366,43.5,36.4,0.4006514657980456
90,78548_2018,0.258,13.0,0.3902439024390244,42.3,35.4,0.32142857142857145
91,78603_2018,0.295,4.0,1.1428571428571428,42.1,35.0,0.3757700205338809
92,78629_2018,0.271,26.0,0.4691358024691358,44.9,39.5,0.3805774278215223
93,78813_2018,0.279,17.0,0.4117647058823529,51.7,32.8,0.32802547770700635
94,79109_2018,0.278,11.0,0.4041095890410959,47.3,38.5,0.3569078947368421
95,79150_2018,0.261,6.0,0.3970588235294117,43.1,32.8,0.32432432432432434
96,79192_2018,0.331,25.0,0.3608247422680412,51.0,30.4,0.3799654576856649
97,79215_2018,0.326,12.0,0.4307692307692308,47.6,31.4,0.3742911153119093
98,79240_2018,0.324,10.0,0.6153846153846154,42.9,31.9,0.3758741258741259
99,79608_2018,0.342,23.0,0.631578947368421,47.4,30.1,0.3927272727272727
100,99810_2018,0.318,3.0,0.7142857142857143,45.3,31.8,0.3717948717948718
101,60558_2019,0.25,6.0,0.3974358974358974,48.0,36.9,0.3161953727506427
102,60566_2019,0.278,0.0,0.4090909090909091,52.9,34.2,0.3064516129032258
103,61102_2019,0.27,16.0,0.36585365853658536,46.9,28.0,0.3368869936034115
104,61186_2019,0.308,2.0,0.6951219512195121,41.2,36.9,0.378688524590164
105,61197_2019,0.251,5.0,0.2978723404255319,48.6,21.9,0.30111524163568776
106,61353_2019,0.32299999999999995,3.0,0.20224719101123595,55.1,27.9,0.3482490272373541
107,61404_2019,0.297,5.0,0.902439024390244,41.8,28.5,0.3628509719222463
108,62025_2019,0.258,8.0,0.425531914893617,49.5,34.2,0.3107142857142857
109,62234_2019,0.25,0.0,0.6,46.9,37.1,0.3225806451612903
110,62244_2019,0.279,4.0,0.6029411764705882,49.3,36.7,0.3467741935483871
111,62356_2019,0.248,3.0,0.3235294117647059,47.4,38.3,0.324
112,62404_2019,0.267,15.0,0.4318181818181818,48.2,33.9,0.3295454545454545
113,62415_2019,0.239,5.0,0.7073170731707317,44.9,35.3,0.3181019332161687
114,62556_2019,0.256,1.0,0.3870967741935484,49.6,32.3,0.3154034229828851
115,62802_2019,0.233,3.0,0.28,49.5,32.7,0.2845188284518829
116,62907_2019,0.344,1.0,1.025,43.4,38.5,0.4038095238095238
117,62931_2019,0.264,13.0,0.3875,50.6,31.4,0.3290155440414508
118,62934_2019,0.23,9.0,0.42028985507246375,44.0,42.3,0.3046153846153846
119,63704_2019,0.25,2.0,0.6764705882352942,43.3,35.1,0.33256880733944955
120,63722_2019,0.223,3.0,0.32926829268292684,44.7,34.0,0.30141843971631205
121,63963_2019,0.256,6.0,0.8333333333333334,40.8,36.9,0.3594132029339853
122,64006_2019,0.279,3.0,0.3382352941176471,46.9,29.9,0.32779097387173395
123,64300_2019,0.307,19.0,0.875,42.8,35.5,0.3933121019108281
124,64346_2019,0.243,0.0,0.20909090909090908,49.7,34.1,0.3050847457627119
125,64504_2019,0.222,1.0,0.4651162790697674,44.1,38.7,0.2977777777777777
126,64560_2019,0.27,6.0,0.6195652173913043,41.1,40.8,0.3626609442060086
127,64984_2019,0.275,5.0,0.2388059701492537,50.0,31.4,0.3045685279187817
128,64004_2019,0.281,0.0,0.5245901639344263,45.6,26.1,0.34108527131782945
129,65357_2019,0.227,3.0,0.3584905660377358,44.8,35.6,0.2688821752265861
130,76802_2019,0.246,1.0,0.7674418604651163,44.6,33.3,0.3017241379310345
131,66606_2019,0.198,1.0,0.3137254901960784,50.5,31.9,0.2608695652173913
132,66706_2019,0.254,1.0,0.35135135135135137,46.3,34.5,0.3198847262247839
133,67025_2019,0.322,24.0,0.4083333333333333,49.9,37.9,0.3859348198970841
134,67304_2019,0.276,0.0,0.3411764705882353,47.3,34.1,0.3333333333333333
135,67341_2019,0.336,6.0,1.125,39.9,33.7,0.3859649122807017
136,67450_2019,0.292,22.0,0.9195402298850576,38.9,39.7,0.4024390243902439
137,67872_2019,0.276,29.0,0.6239316239316239,44.1,38.7,0.3733108108108108
138,68050_2019,0.336,13.0,0.7011494252873564,44.0,39.7,0.4204322200392927
139,69569_2019,0.251,9.0,0.5166666666666667,46.0,41.7,0.35074626865671643
140,68345_2019,0.305,28.0,0.7623762376237624,45.0,43.2,0.3973941368078176
141,68730_2019,0.284,18.0,0.4222222222222222,47.4,33.8,0.3459357277882797
142,68743_2019,0.262,8.0,0.4752475247524752,38.6,36.3,0.31715210355987056
143,70410_2019,0.3,3.0,0.3863636363636364,49.6,35.4,0.3452054794520548
144,71564_2019,0.285,16.0,0.7230769230769231,47.2,34.1,0.3598553345388789
145,71752_2019,0.305,6.0,0.5744680851063829,43.3,34.9,0.3881188118811881
146,71837_2019,0.27,8.0,0.3009708737864077,48.0,28.0,0.3282937365010799
147,72443_2019,0.3,17.0,1.103896103896104,40.9,41.0,0.4188948306595365
148,73113_2019,0.247,10.0,0.5392156862745098,42.6,40.1,0.3367556468172485
149,73136_2019,0.256,21.0,0.42105263157894735,50.4,37.3,0.3445378151260504
150,73209_2019,0.222,3.0,0.2222222222222222,51.5,31.8,0.2697095435684647
151,74206_2019,0.268,4.0,1.1551724137931034,43.0,42.7,0.3827956989247312
152,74339_2019,0.317,14.0,0.8524590163934426,40.8,36.0,0.3836589698046181
153,74465_2019,0.267,19.0,0.9420289855072465,41.0,40.5,0.3959276018099547
154,74540_2019,0.234,13.0,0.4342105263157895,45.5,37.6,0.31806615776081426
155,75125_2019,0.28,33.0,0.6666666666666666,41.5,37.6,0.4040968342644321
156,75151_2019,0.282,13.0,0.5,48.7,33.0,0.3436754176610978
157,75334_2019,0.293,21.0,0.5555555555555556,49.3,40.4,0.36981132075471695
158,75566_2019,0.246,19.0,0.589041095890411,42.2,39.5,0.32671081677704195
159,75808_2019,0.278,3.0,0.4651162790697674,44.7,31.7,0.33663366336633666
160,75847_2019,0.292,29.0,0.75,47.7,39.5,0.40522875816993453
161,76232_2019,0.354,20.0,1.1162790697674418,44.6,35.5,0.4427645788336933
162,76249_2019,0.304,9.0,0.7636363636363637,48.2,42.4,0.3794749403341289
163,76267_2019,0.277,4.0,0.8,44.4,26.6,0.3323076923076923
164,76290_2019,0.304,11.0,1.0384615384615383,44.7,36.4,0.3791390728476821
165,76313_2019,0.28300000000000003,20.0,0.7323943661971831,43.1,34.9,0.3595284872298625
166,79402_2019,0.271,5.0,0.746268656716418,38.0,35.1,0.3587360594795539
167,76753_2019,0.264,7.0,0.2307692307692308,58.2,33.9,0.2981366459627329
168,76812_2019,0.268,12.0,0.576271186440678,50.6,33.4,0.33001988071570576
169,76849_2019,0.293,2.0,0.7272727272727273,43.6,32.7,0.3616236162361624
170,77532_2019,0.295,10.0,0.5652173913043478,44.5,36.1,0.3609154929577465
171,77564_2019,0.26,8.0,0.4,43.0,36.4,0.3232323232323233
172,78135_2019,0.28600000000000003,13.0,0.5384615384615384,47.2,36.8,0.3589211618257261
173,78168_2019,0.3,2.0,0.98,40.7,35.0,0.3739669421487603
174,78224_2019,0.28300000000000003,15.0,0.5575221238938053,48.4,41.9,0.36787564766839376
175,78288_2019,0.29,3.0,0.918032786885246,40.1,39.2,0.3982102908277405
176,78513_2019,0.301,22.0,0.647887323943662,45.3,36.3,0.3607907742998353
177,78548_2019,0.262,7.0,0.4069767441860465,42.5,35.2,0.3284671532846715
178,78603_2019,0.292,3.0,1.6538461538461535,38.6,36.0,0.3597285067873303
179,78756_2019,0.224,3.0,0.5277777777777778,43.0,32.2,0.3069977426636569
180,78813_2019,0.305,10.0,0.5,50.4,33.9,0.3591731266149871
181,79109_2019,0.252,9.0,0.5044247787610621,45.6,38.9,0.34011090573012936
182,79150_2019,0.231,2.0,0.3406593406593407,42.2,35.1,0.29095354523227385
183,79192_2019,0.315,12.0,0.3582089552238806,50.0,31.3,0.3592233009708738
184,79215_2019,0.319,10.0,1.0526315789473684,43.0,33.0,0.39738805970149255
185,79231_2019,0.265,0.0,0.95,42.7,34.4,0.35363457760314343
186,79240_2019,0.28800000000000003,4.0,0.9444444444444444,45.1,31.5,0.3525046382189239
187,79334_2019,0.247,7.0,0.35064935064935066,44.1,36.5,0.3099273607748184
188,79365_2019,0.297,10.0,0.6071428571428571,49.2,40.1,0.3672316384180791
189,79456_2019,0.282,1.0,0.5357142857142857,49.2,27.2,0.31901840490797545
190,79608_2019,0.315,5.0,1.0810810810810811,43.2,38.4,0.3814180929095353
191,64646_2019,0.26,2.0,0.3132530120481928,50.6,26.6,0.3003731343283582
192,65515_2019,0.24,4.0,0.12149532710280375,50.1,30.5,0.2786885245901639
193,69209_2019,0.344,15.0,1.1296296296296295,48.2,34.6,0.4129429892141757
194,69453_2019,0.262,7.0,0.3595505617977528,49.1,33.6,0.33178654292343385
195,69652_2019,0.311,9.0,0.8636363636363636,45.8,36.2,0.3809523809523809
196,69901_2019,0.229,9.0,0.5161290322580645,44.0,33.6,0.2982456140350877
197,69950_2019,0.246,8.0,0.35294117647058826,53.4,31.2,0.3080357142857143
198,60523_2020,0.295,11.0,0.6588235294117647,41.3,31.1,0.3818565400843882
199,60558_2020,0.274,5.0,0.2765957446808511,52.1,37.4,0.3307086614173229
200,61102_2020,0.261,16.0,0.3809523809523809,49.1,31.4,0.3312368972746331
201,61186_2020,0.256,3.0,0.7954545454545454,39.4,38.3,0.3333333333333333
202,61208_2020,0.277,2.0,0.58,46.4,30.9,0.3501577287066246
203,61353_2020,0.28300000000000003,3.0,0.2545454545454545,53.4,28.3,0.3194444444444444
204,61404_2020,0.248,3.0,0.7096774193548387,43.6,31.0,0.3120567375886525
205,61700_2020,0.228,4.0,0.546875,35.2,37.2,0.351931330472103
206,62244_2020,0.269,4.0,0.7777777777777778,50.3,40.2,0.3478260869565217
207,62265_2020,0.246,8.0,0.6625,44.8,37.3,0.3428571428571429
208,62404_2020,0.307,15.0,0.5604395604395604,46.7,31.9,0.388671875
209,62415_2020,0.29,11.0,0.5064935064935064,44.2,28.2,0.3457943925233645
210,62700_2020,0.28600000000000003,2.0,0.19696969696969696,56.9,28.1,0.3225806451612903
211,62864_2020,0.251,2.0,0.6071428571428571,45.5,38.4,0.3103448275862069
212,62907_2020,0.345,8.0,0.75,40.2,33.5,0.4037735849056604
213,62925_2020,0.309,12.0,0.43478260869565216,49.6,24.9,0.3511627906976744
214,62931_2020,0.274,20.0,0.4622641509433962,47.2,36.4,0.359504132231405
215,62934_2020,0.221,8.0,0.425,48.1,36.8,0.29357798165137616
216,62947_2020,0.324,34.0,0.3310810810810811,56.1,35.1,0.3924914675767918
217,63704_2020,0.251,1.0,0.53125,45.7,32.4,0.3363636363636364
218,63722_2020,0.226,9.0,0.3620689655172414,42.6,31.1,0.308300395256917
219,63963_2020,0.26,12.0,0.8055555555555556,37.9,37.5,0.37857142857142856
220,64006_2020,0.235,3.0,0.3775510204081632,47.9,26.3,0.2909441233140655
221,64166_2020,0.289,13.0,0.4788732394366197,42.5,38.8,0.3721311475409836
222,64300_2020,0.306,30.0,1.1029411764705883,40.9,35.0,0.4003215434083601
223,64657_2020,0.245,5.0,0.5416666666666666,39.9,45.8,0.38940092165898615
224,64868_2020,0.29600000000000004,0.0,0.7710843373493976,40.4,38.9,0.393305439330544
225,64984_2020,0.236,1.0,0.2888888888888889,53.1,26.8,0.2733812949640288
226,64004_2020,0.239,5.0,0.5238095238095238,44.1,37.0,0.3117408906882591
227,65399_2020,0.268,10.0,0.547945205479452,40.6,35.3,0.35294117647058826
228,65586_2020,0.237,8.0,0.37,42.9,34.0,0.31
229,66108_2020,0.279,5.0,0.9540229885057472,39.1,42.3,0.4118811881188119
230,76802_2020,0.271,2.0,1.1111111111111112,45.7,38.9,0.3359580052493438
231,66606_2020,0.326,2.0,0.9428571428571428,46.2,29.5,0.3870967741935484
232,66838_2020,0.312,20.0,0.3670886075949367,50.2,34.8,0.36
233,67025_2020,0.349,47.0,0.4924242424242424,48.3,35.0,0.4218009478672986
234,67304_2020,0.285,7.0,0.4893617021276596,44.3,29.0,0.3448275862068966
235,67341_2020,0.333,15.0,1.25531914893617,39.9,36.9,0.4025764895330113
236,67872_2020,0.282,32.0,0.7844827586206896,41.6,41.4,0.40439932318104893
237,68050_2020,0.33,23.0,0.7096774193548387,48.5,37.9,0.4202401372212693
238,68525_2020,0.278,17.0,0.5876288659793815,43.1,37.5,0.3612167300380228
239,68743_2020,0.248,3.0,1.0,35.4,30.8,0.3621262458471761
240,71564_2020,0.292,20.0,0.7794117647058824,50.6,32.4,0.3629032258064516
241,71752_2020,0.219,2.0,0.7142857142857143,45.4,29.0,0.32421875
242,71837_2020,0.253,12.0,0.4354838709677419,50.6,30.7,0.3271604938271605
243,72133_2020,0.3,2.0,0.4411764705882353,52.5,26.6,0.34177215189873417
244,72443_2020,0.354,28.0,0.6930693069306929,46.2,34.2,0.4380165289256198
245,73113_2020,0.281,13.0,0.5,42.2,38.5,0.38461538461538464
246,73136_2020,0.203,8.0,0.2318840579710145,52.7,33.9,0.2701612903225806
247,74163_2020,0.28600000000000003,1.0,1.6388888888888888,44.6,31.1,0.38144329896907214
248,74206_2020,0.289,2.0,1.0,45.0,36.2,0.36323851203501095
249,74339_2020,0.28,11.0,0.7843137254901961,41.5,33.6,0.34965034965034963
250,74465_2020,0.306,14.0,1.2096774193548387,41.1,38.3,0.4384787472035794
251,74540_2020,0.287,19.0,0.5740740740740741,43.9,35.4,0.3518987341772152
252,74729_2020,0.234,8.0,0.3050847457627119,49.8,35.2,0.30416666666666664
253,75125_2020,0.223,21.0,0.5,43.6,36.6,0.35584415584415585
254,75334_2020,0.312,16.0,0.6630434782608695,49.5,41.6,0.3906542056074767
255,75566_2020,0.268,13.0,0.5975609756097561,44.2,36.0,0.3426124197002141
256,75847_2020,0.27,33.0,0.7653061224489796,47.4,37.8,0.3935018050541516
257,76232_2020,0.328,33.0,0.9787234042553192,47.2,30.0,0.40823970037453183
258,76249_2020,0.233,2.0,0.3387096774193548,47.9,36.9,0.2928994082840237
259,76267_2020,0.306,16.0,0.7121212121212122,43.7,25.8,0.3719723183391003
260,76290_2020,0.331,22.0,1.1886792452830188,44.6,30.3,0.40415335463258784
261,76313_2020,0.312,21.0,0.4795918367346938,46.2,33.4,0.3701842546063652
262,79402_2020,0.304,5.0,1.0,36.8,36.2,0.3978723404255319
263,76753_2020,0.235,9.0,0.2028985507246377,55.3,36.5,0.2785234899328859
264,76812_2020,0.185,2.0,0.7916666666666666,48.8,37.8,0.2749003984063745
265,76849_2020,0.306,2.0,0.6410256410256411,42.6,32.9,0.37383177570093457
266,77532_2020,0.35200000000000004,11.0,1.0892857142857142,48.7,35.1,0.4185667752442997
267,77564_2020,0.266,5.0,0.3636363636363637,49.3,29.6,0.3293051359516616
268,78135_2020,0.29600000000000004,17.0,0.4426229508196721,44.8,37.0,0.3703703703703704
269,78168_2020,0.277,5.0,1.5689655172413792,39.2,39.8,0.39086294416243655
270,78224_2020,0.266,30.0,0.5909090909090909,45.3,40.5,0.3760129659643436
271,78288_2020,0.301,3.0,0.6590909090909091,45.6,33.7,0.3828125
272,78513_2020,0.279,26.0,0.6582278481012658,43.7,37.9,0.3472
273,78548_2020,0.278,13.0,0.59375,45.3,33.3,0.33707865168539325
274,78603_2020,0.33,1.0,0.9302325581395348,35.8,34.4,0.4057142857142857
275,78629_2020,0.29100000000000004,17.0,0.5614035087719298,43.4,41.5,0.3931777378815081
276,79109_2020,0.3,10.0,0.3879310344827586,48.5,36.1,0.3628620102214651
277,79150_2020,0.247,4.0,0.4603174603174603,42.6,30.3,0.3121546961325967
278,79192_2020,0.293,15.0,0.463768115942029,49.8,31.6,0.35268817204301073
279,79215_2020,0.304,14.0,0.6461538461538462,45.4,29.9,0.3709090909090909
280,79231_2020,0.298,5.0,0.9821428571428572,42.7,31.8,0.3711711711711712
281,79240_2020,0.332,7.0,1.25,42.5,31.8,0.3847736625514404
282,79365_2020,0.25,12.0,0.5588235294117647,49.7,36.8,0.33783783783783783
283,79456_2020,0.309,0.0,0.6785714285714286,47.4,26.0,0.36585365853658536
284,79608_2020,0.28600000000000003,8.0,0.7446808510638298,43.8,26.3,0.3537117903930131
285,62558_2020,0.225,5.0,0.875,40.1,43.6,0.3442622950819672
286,64646_2020,0.223,3.0,0.4137931034482759,45.4,32.2,0.2755298651252409
287,65898_2020,0.275,8.0,0.26153846153846155,49.0,36.1,0.3376623376623377
288,66409_2020,0.181,10.0,0.28125,51.6,33.2,0.2572614107883817
289,69209_2020,0.34,21.0,1.380952380952381,47.9,38.4,0.40508221225710017
290,69453_2020,0.228,4.0,0.4482758620689655,49.2,36.4,0.31666666666666665
291,69652_2020,0.306,32.0,1.1343283582089552,43.0,41.0,0.4006309148264984
292,69737_2020,0.22,12.0,0.2844827586206897,50.5,31.7,0.2997416020671835
293,50165_2020,0.278,38.0,0.4044117647058824,47.2,37.3,0.3687374749498998
294,50350_2020,0.254,2.0,0.5945945945945946,49.2,40.0,0.31985294117647056
295,50458_2020,0.232,1.0,0.5454545454545454,45.2,32.2,0.30141843971631205
296,50506_2020,0.28,12.0,0.9,43.9,33.9,0.35842293906810035
297,50730_2020,0.265,9.0,0.3333333333333333,52.8,34.5,0.34375
298,50854_2020,0.258,1.0,0.475,44.1,29.8,0.318359375
299,50923_2020,0.278,31.0,0.3087248322147651,49.9,39.9,0.3551912568306011
300,60523_2021,0.333,9.0,0.7555555555555555,38.5,32.0,0.4100946372239748
301,61102_2021,0.253,5.0,0.4444444444444444,45.7,30.4,0.32113821138211385
302,61186_2021,0.21600000000000005,2.0,1.0454545454545454,40.0,35.9,0.31958762886597936
303,61208_2021,0.228,0.0,0.6818181818181818,46.0,34.6,0.3048780487804878
304,61404_2021,0.305,3.0,0.8947368421052632,39.8,29.1,0.3809523809523809
305,62234_2021,0.259,0.0,0.6875,44.3,40.1,0.34108527131782945
306,62404_2021,0.28,11.0,0.5454545454545454,48.1,31.1,0.34718100890207715
307,62415_2021,0.302,4.0,0.8260869565217391,43.6,35.8,0.3894080996884735
308,62700_2021,0.282,4.0,0.4189189189189189,51.9,31.8,0.3622291021671827
309,62864_2021,0.228,2.0,1.0,39.7,39.0,0.37662337662337664
310,62907_2021,0.261,1.0,0.9565217391304348,40.0,32.7,0.36018957345971564
311,62925_2021,0.262,4.0,0.5454545454545454,44.5,27.9,0.3492822966507177
312,62931_2021,0.324,6.0,0.5172413793103449,44.9,35.5,0.4132231404958678
313,62947_2021,0.29,17.0,0.3382352941176471,56.3,29.7,0.3617647058823529
314,63123_2021,0.227,2.0,0.3055555555555556,52.6,29.3,0.2926829268292683
315,63202_2021,0.234,2.0,0.3611111111111111,47.7,33.5,0.32413793103448274
316,63257_2021,0.275,5.0,1.2222222222222223,40.9,42.5,0.4048582995951417
317,63722_2021,0.222,1.0,0.4838709677419355,38.3,37.0,0.3225806451612903
318,63963_2021,0.263,8.0,1.2083333333333333,36.4,39.7,0.4093567251461988
319,64006_2021,0.271,4.0,0.42105263157894735,47.9,23.8,0.325
320,64153_2021,0.28,16.0,0.3698630136986301,50.7,33.0,0.3440514469453376
321,64166_2021,0.278,5.0,0.5967741935483871,41.5,37.7,0.37142857142857133
322,64560_2021,0.229,0.0,0.7241379310344828,40.6,39.8,0.3254437869822485
323,64610_2021,0.253,0.0,0.4761904761904762,39.6,33.3,0.3333333333333333
324,67504_2021,0.248,2.0,0.3333333333333333,43.8,36.7,0.3129251700680272
325,64868_2021,0.255,0.0,1.3,37.0,43.1,0.38666666666666666
326,64984_2021,0.305,0.0,0.4838709677419355,52.7,28.4,0.3524229074889868
327,65586_2021,0.196,4.0,0.42105263157894735,40.3,34.9,0.32386363636363635
328,66108_2021,0.338,3.0,1.3863636363636365,34.5,42.4,0.4781341107871721
329,76802_2021,0.282,4.0,1.7333333333333334,43.1,37.7,0.37988826815642457
330,66606_2021,0.302,1.0,0.8285714285714286,46.9,26.1,0.3684210526315789
331,67304_2021,0.294,3.0,0.6333333333333333,43.3,28.4,0.3651226158038147
334,67893_2021,0.277,1.0,0.6363636363636364,39.9,37.0,0.3523809523809524
336,68362_2021,0.294,4.0,0.6071428571428571,44.6,23.9,0.38064516129032255
337,68525_2021,0.24,10.0,0.6140350877192983,38.4,40.0,0.35135135135135137
338,68743_2021,0.302,4.0,1.1403508771929824,30.1,41.5,0.43515850144092216
